condition,window,subband,statistic,target0_mean,target0_std,target1_mean,target1_std,standardized_mean_difference
resize50,3x3,HL2,minimum_distance_to_bit0_lattice,0.01435557659715414,0.026871077716350555,0.01692204549908638,0.031418848782777786,0.08779195696115494
resize50,3x3,HL2,minimum_distance_to_bit1_lattice,0.2526094913482666,0.1990913599729538,0.1421155035495758,0.12116677314043045,-0.6704690456390381
resize50,3x3,HL2,neighborhood_phase_mean,0.31173112988471985,0.24527721107006073,0.37108585238456726,0.18322908878326416,0.274171382188797
resize50,3x3,HL2,neighborhood_phase_std,0.22985664010047913,0.16051961481571198,0.3174234628677368,0.07385550439357758,0.7008578181266785
resize50,3x3,HL2,neighborhood_phase_min,0.034575968980789185,0.08316943794488907,0.03838737681508064,0.07931484282016754,0.04690098017454147
resize50,3x3,HL2,neighborhood_phase_max,0.6580658555030823,0.4305780827999115,0.9258354306221008,0.12661825120449066,0.8437514305114746
resize50,3x3,combined,center_phase,0.31552672386169434,0.3970990478992462,0.39346206188201904,0.20266801118850708,0.247219517827034
resize50,3x3,combined,minimum_distance_to_bit0_lattice,0.014533561654388905,0.02638276107609272,0.017115678638219833,0.030647948384284973,0.09029962867498398
resize50,3x3,combined,minimum_distance_to_bit1_lattice,0.24640390276908875,0.19798900187015533,0.13705644011497498,0.11928141862154007,-0.6690221428871155
resize50,3x3,combined,neighborhood_phase_mean,0.3184700906276703,0.2433958798646927,0.3777991533279419,0.1827540099620819,0.27566513419151306
resize50,3x3,combined,neighborhood_phase_std,0.2343883067369461,0.1594005823135376,0.3170439898967743,0.07197002321481705,0.66836017370224
resize50,3x3,combined,neighborhood_phase_min,0.03413413092494011,0.07951496541500092,0.03850846737623215,0.07856659591197968,0.05534178391098976
resize50,3x3,combined,neighborhood_phase_max,0.668950080871582,0.42637524008750916,0.9283517003059387,0.11804180592298508,0.8291999697685242
resize50,5x5,LH2,center_phase,0.3252538740634918,0.40141159296035767,0.4020179212093353,0.20189328491687775,0.24160900712013245
resize50,5x5,LH2,minimum_distance_to_bit0_lattice,0.004795103799551725,0.01091040950268507,0.004969477187842131,0.010795382782816887,0.016066765412688255
resize50,5x5,LH2,minimum_distance_to_bit1_lattice,0.17876765131950378,0.20105409622192383,0.10681650787591934,0.12060132622718811,-0.43401026725769043
resize50,5x5,LH2,neighborhood_phase_mean,0.32609713077545166,0.21809130907058716,0.3497382402420044,0.19268563389778137,0.11488484591245651
resize50,5x5,LH2,neighborhood_phase_std,0.26485389471054077,0.14680279791355133,0.31177130341529846,0.07501136511564255,0.4024779796600342
resize50,5x5,LH2,neighborhood_phase_min,0.009507562965154648,0.02903185598552227,0.009211166761815548,0.023843945935368538,-0.011157459579408169
resize50,5x5,LH2,neighborhood_phase_max,0.7711589336395264,0.396526962518692,0.9714943766593933,0.049345310777425766,0.7090274691581726
resize50,5x5,HL2,center_phase,0.30585625767707825,0.392525851726532,0.3848572075366974,0.20308098196983337,0.25279921293258667
resize50,5x5,HL2,minimum_distance_to_bit0_lattice,0.004417099989950657,0.010391308926045895,0.004754488356411457,0.011225246824324131,0.031192533671855927
resize50,5x5,HL2,minimum_distance_to_bit1_lattice,0.18839885294437408,0.20326530933380127,0.11775459349155426,0.12587159872055054,-0.41787275671958923
resize50,5x5,HL2,neighborhood_phase_mean,0.3130170404911041,0.22292836010456085,0.3303034007549286,0.19606620073318481,0.08234447985887527
resize50,5x5,HL2,neighborhood_phase_std,0.25584882497787476,0.14955049753189087,0.3064255118370056,0.07787897437810898,0.42420250177383423
resize50,5x5,HL2,neighborhood_phase_min,0.008722458966076374,0.03089975006878376,0.009007571265101433,0.024182673543691635,0.010276081040501595
resize50,5x5,HL2,neighborhood_phase_max,0.7523729205131531,0.4066890478134155,0.964069664478302,0.07866115123033524,0.7227554321289062
resize50,5x5,combined,center_phase,0.31552672386169434,0.3970990478992462,0.39346206188201904,0.20266801118850708,0.247219517827034
resize50,5x5,combined,minimum_distance_to_bit0_lattice,0.004605548456311226,0.010654937475919724,0.004862289875745773,0.011012324132025242,0.023695332929491997
resize50,5x5,combined,minimum_distance_to_bit1_lattice,0.18359734117984772,0.20222331583499908,0.11226993799209595,0.12337838858366013,-0.42582008242607117
resize50,5x5,combined,neighborhood_phase_mean,0.3195379674434662,0.22062714397907257,0.34004858136177063,0.19462117552757263,0.0985940545797348
resize50,5x5,combined,neighborhood_phase_std,0.2603381872177124,0.14825542271137238,0.3091060519218445,0.07650122791528702,0.4134049415588379
resize50,5x5,combined,neighborhood_phase_min,0.009113862179219723,0.029985656961798668,0.009109659120440483,0.024013638496398926,-0.00015472750237677246
resize50,5x5,combined,neighborhood_phase_max,0.7617383599281311,0.401764839887619,0.9677926301956177,0.06572436541318893,0.7157970666885376
