condition,subband,offset_row,offset_column,training_ber,validation_ber,validation_false_zero_count,validation_false_one_count,median_absolute_displacement_from_clean_center,mean_absolute_displacement_from_clean_center,median_circular_phase_displacement_from_clean_center,mean_circular_phase_displacement_from_clean_center,overlap_coefficient,total_variation_distance,jensen_shannon_divergence_bits,target0_phase_mean,target0_phase_std,target1_phase_mean,target1_phase_std
resize50,HL2,1,-1,0.5033125,0.509921875,5319,1208,7.75,24.859609603881836,0.25,0.21756835281848907,0.952847645168156,0.04715235483184399,0.004260688622141859,0.30913951992988586,0.36942726373672485,0.3032812178134918,0.369417667388916
resize50,HL2,1,0,0.501578125,0.504453125,5298,1159,6.0,18.694355010986328,0.2291666716337204,0.21282634139060974,0.6347835212275998,0.3652164787724002,0.21121264211826285,0.3128894865512848,0.3720678389072418,0.310063898563385,0.36248350143432617
resize50,HL2,1,1,0.50253125,0.507890625,5316,1185,7.75,25.1844539642334,0.2395833283662796,0.21741211414337158,0.9473448747626707,0.05265512523732929,0.0046031578655215625,0.31334957480430603,0.3698340952396393,0.3136640191078186,0.3728756010532379
resize50,combined,-1,-1,0.5006328125,0.50671875,10459,2513,8.0,24.410907745361328,0.25,0.21925334632396698,0.9685550661659408,0.03144493383405917,0.001967480220740202,0.3214103579521179,0.3698573708534241,0.32214340567588806,0.37175366282463074
resize50,combined,-1,0,0.4927109375,0.4969921875,10321,2402,7.0,21.816268920898438,0.2291666716337204,0.21299560368061066,0.7556217765755227,0.2443782234244775,0.09309917958250008,0.32012152671813965,0.3714996874332428,0.3709857165813446,0.3817758560180664
resize50,combined,-1,1,0.501734375,0.5065625,10535,2433,8.25,24.3773136138916,0.25,0.21934448182582855,0.9557265180792454,0.04427348192075463,0.002773396712914299,0.31430548429489136,0.3684910237789154,0.32424136996269226,0.3749113976955414
resize50,combined,0,-1,0.497515625,0.501328125,10447,2387,7.75,23.033349990844727,0.2291666716337204,0.21452434360980988,0.7743392216178084,0.22566077838219165,0.07892047784902913,0.3200383186340332,0.37215951085090637,0.37931808829307556,0.3875811696052551
resize50,combined,0,0,0.21146875,0.2363671875,4814,1237,2.0,3.2176756858825684,0.0833333283662796,0.09826578199863434,0.22966906288805466,0.7703309371119453,0.5712515400178048,0.31552672386169434,0.3970990478992462,0.39346206188201904,0.20266801118850708
resize50,combined,0,1,0.49996875,0.5046875,10442,2478,7.5,22.830429077148438,0.2291666716337204,0.21837645769119263,0.6574354164109026,0.34256458358909736,0.17768291732219638,0.3227773904800415,0.3725164532661438,0.4943033456802368,0.4001622498035431
resize50,combined,1,-1,0.5004140625,0.50703125,10532,2448,8.25,24.423534393310547,0.25,0.21886391937732697,0.9675282780908107,0.032471721909189365,0.002170775142303142,0.31931808590888977,0.3712064325809479,0.3219970762729645,0.3729841113090515
resize50,combined,1,0,0.5014453125,0.5066015625,10570,2399,7.5,22.051240921020508,0.2291666716337204,0.2189497947692871,0.6540542000990766,0.34594579990092345,0.18338532942818364,0.3150339126586914,0.3694716691970825,0.4717128574848175,0.4030326008796692
resize50,combined,1,1,0.500171875,0.50734375,10563,2425,8.0,24.320234298706055,0.23958337306976318,0.2188338041305542,0.9637607106599501,0.03623928934005007,0.002322622091398211,0.3176988661289215,0.36927732825279236,0.3220284879207611,0.37349092960357666
