row_id,base_pair_index,image_filename,payload_index,payload_fingerprint,condition,attacked_height,attacked_width,dwt_subband_height,dwt_subband_width,classical_ber,cnn_ber,cnn_mean_probability,cnn_mean_confidence
100,25,5234270.png,1,a8b27f29fe3a45c4455b90a0ceec637986b6bc2fce9c9264f7aef4be3c30436c,clean,512,512,128,128,0.234375,0.0,0.5446730256080627,0.8567855358123779
101,25,5234270.png,1,a8b27f29fe3a45c4455b90a0ceec637986b6bc2fce9c9264f7aef4be3c30436c,mild,494,512,124,128,0.4921875,0.4921875,0.2575623393058777,0.7336751222610474
102,25,5234270.png,1,a8b27f29fe3a45c4455b90a0ceec637986b6bc2fce9c9264f7aef4be3c30436c,moderate,447,509,112,128,0.5078125,0.5234375,0.22467708587646484,0.7820844650268555
103,25,5234270.png,1,a8b27f29fe3a45c4455b90a0ceec637986b6bc2fce9c9264f7aef4be3c30436c,severe,389,505,98,127,0.53125,0.5390625,0.2157156765460968,0.7832063436508179
104,26,5234273.png,0,6f70ce33d61a0e22d0f7524525c6741a03b3fb7f674a530b1c2e9ca87a588557,clean,512,512,128,128,0.2734375,0.0078125,0.509642481803894,0.8353849649429321
105,26,5234273.png,0,6f70ce33d61a0e22d0f7524525c6741a03b3fb7f674a530b1c2e9ca87a588557,mild,494,512,124,128,0.53125,0.5546875,0.2067292481660843,0.7861171960830688
106,26,5234273.png,0,6f70ce33d61a0e22d0f7524525c6741a03b3fb7f674a530b1c2e9ca87a588557,moderate,447,509,112,128,0.46875,0.4453125,0.1786690056324005,0.7695944309234619
107,26,5234273.png,0,6f70ce33d61a0e22d0f7524525c6741a03b3fb7f674a530b1c2e9ca87a588557,severe,389,505,98,127,0.4609375,0.484375,0.2220384180545807,0.770907998085022
108,27,5234273.png,1,6559cb22ad82d0a4a3b71e5ba1777e187d35959f2d0c2526c0b80dc13e560f5c,clean,512,512,128,128,0.2421875,0.0,0.512784481048584,0.8414292931556702
109,27,5234273.png,1,6559cb22ad82d0a4a3b71e5ba1777e187d35959f2d0c2526c0b80dc13e560f5c,mild,494,512,124,128,0.5078125,0.515625,0.20626753568649292,0.7851938009262085
