condition,subband,target_bit,variable,count,mean,std,minimum,q1,median,q3,maximum
jpeg50,LH2,1,qim_phase_mod_1,31916,0.3293459713459015,0.32494887709617615,0.0,0.0,0.25,0.609375,1.0
jpeg50,LH2,1,classical_decision_margin_over_delta,31916,0.3291335067051009,0.1669866158922294,0.0,0.18749999999999867,0.37499999999999645,0.5,0.5
jpeg50,HL2,0,coefficient_over_delta,31770,0.006004091817885637,2.882246732711792,-27.4375,-0.140625,0.0,0.15234375,29.15625
jpeg50,HL2,0,sin_pi_c_over_delta,31770,-0.00041788670932874084,0.512809693813324,-1.0,-0.24298018217086792,0.0,0.24298018217086792,1.0
jpeg50,HL2,0,cos_pi_c_over_delta,31770,0.5222234129905701,0.6814020872116089,-1.0,0.19509032368659973,0.9238795042037964,1.0,1.0
jpeg50,HL2,0,qim_phase_mod_1,31770,0.31239375472068787,0.34627804160118103,0.0,0.0,0.15625,0.640625,1.0
jpeg50,HL2,0,classical_decision_margin_over_delta,31770,0.3405512275731823,0.16757061312560131,0.0,0.1875000000000071,0.4062499999999929,0.5,0.5
jpeg50,HL2,1,coefficient_over_delta,32230,0.034385181963443756,2.9422388076782227,-25.25,-0.25,0.0,0.3125,31.1875
jpeg50,HL2,1,sin_pi_c_over_delta,32230,0.01633736677467823,0.5916673541069031,-1.0,-0.3826834261417389,0.0,0.4713967442512512,1.0
jpeg50,HL2,1,cos_pi_c_over_delta,32230,0.44855907559394836,0.6696697473526001,-1.0,6.123234262925839e-17,0.803207516670227,1.0,1.0
jpeg50,HL2,1,qim_phase_mod_1,32230,0.3290795683860779,0.3251875340938568,0.0,0.0,0.25,0.609375,1.0
jpeg50,HL2,1,classical_decision_margin_over_delta,32230,0.32973452528699976,0.16733430875937105,0.0,0.1875,0.3749999999999929,0.5,0.5
reencode1,LH2,0,coefficient_over_delta,32084,-0.007450656965374947,2.635953426361084,-31.3125,-0.09375,0.0,0.09375,26.828125
reencode1,LH2,0,sin_pi_c_over_delta,32084,0.005059793125838041,0.3582567870616913,-1.0,-0.19509032368659973,0.0,0.19509032368659973,1.0
reencode1,LH2,0,cos_pi_c_over_delta,32084,0.5559192895889282,0.7500534057617188,-1.0,0.7071067690849304,0.9700312614440918,1.0,1.0
reencode1,LH2,0,qim_phase_mod_1,32084,0.35930535197257996,0.40057358145713806,0.0,0.0,0.125,0.84375,1.0
reencode1,LH2,0,classical_decision_margin_over_delta,32084,0.34868918308191,0.14829166162060134,0.0,0.24999999999999797,0.375000000000004,0.5,0.5
reencode1,LH2,1,coefficient_over_delta,31916,0.04718538373708725,2.685011625289917,-26.59375,-0.4375,0.15625,0.46875,27.125
reencode1,LH2,1,sin_pi_c_over_delta,31916,0.16179557144641876,0.8273377418518066,-1.0,-0.8819212913513184,0.3826834261417389,0.9569403529167175,1.0
reencode1,LH2,1,cos_pi_c_over_delta,31916,0.23236066102981567,0.48512163758277893,-1.0,-0.0980171412229538,0.24298018217086792,0.5956993103027344,1.0
reencode1,LH2,1,qim_phase_mod_1,31916,0.4300967752933502,0.20055919885635376,0.0,0.328125,0.453125,0.5625,1.0
reencode1,LH2,1,classical_decision_margin_over_delta,31916,0.2931797531018926,0.13097164190544483,0.0,0.18750000000001066,0.3125000000000089,0.37500000000001066,0.5
reencode1,HL2,0,coefficient_over_delta,31770,0.00509423203766346,2.910767078399658,-27.5625,-0.09375,0.0,0.09375,29.203125
reencode1,HL2,0,sin_pi_c_over_delta,31770,-0.002843904308974743,0.37662509083747864,-1.0,-0.19509032368659973,0.0,0.19509032368659973,1.0
reencode1,HL2,0,cos_pi_c_over_delta,31770,0.5613076090812683,0.7369391322135925,-1.0,0.6715589761734009,0.9700312614440918,1.0,1.0
reencode1,HL2,0,qim_phase_mod_1,31770,0.35444897413253784,0.39624571800231934,0.0,0.0,0.125,0.84375,1.0
reencode1,HL2,0,classical_decision_margin_over_delta,31770,0.34861701290525654,0.15152432129619334,0.0,0.2499999999999929,0.3750000000000071,0.5,0.5
reencode1,HL2,1,coefficient_over_delta,32230,0.08965977281332016,2.9713168144226074,-26.03125,-0.40625,0.140625,0.4375,31.296875
reencode1,HL2,1,sin_pi_c_over_delta,32230,0.17894503474235535,0.7971342206001282,-1.0,-0.8314695954322815,0.4275550842285156,0.9238795042037964,1.0
reencode1,HL2,1,cos_pi_c_over_delta,32230,0.2743784785270691,0.5072199702262878,-1.0,-0.049067676067352295,0.3368898630142212,0.6715589761734009,1.0
reencode1,HL2,1,qim_phase_mod_1,32230,0.4197249114513397,0.21091315150260925,0.0,0.28125,0.421875,0.5625,1.0
reencode1,HL2,1,classical_decision_margin_over_delta,32230,0.26861910487123797,0.13241714548368544,0.0,0.1874999999999858,0.2500000000000071,0.375,0.5
reencode3,LH2,0,coefficient_over_delta,32084,-0.007620621006935835,2.6204726696014404,-30.796875,-0.109375,0.0,0.09375,26.625
reencode3,LH2,0,sin_pi_c_over_delta,32084,0.0053777508437633514,0.3782497048377991,-1.0,-0.19509032368659973,0.0,0.19509032368659973,1.0
reencode3,LH2,0,cos_pi_c_over_delta,32084,0.5518501996994019,0.7432090044021606,-1.0,0.6343932747840881,0.9700312614440918,1.0,1.0
reencode3,LH2,0,qim_phase_mod_1,32084,0.35629910230636597,0.3954232633113861,0.0,0.0,0.125,0.84375,1.0
reencode3,LH2,0,classical_decision_margin_over_delta,32084,0.3465317603790051,0.14980734876726037,0.0,0.24999999999999292,0.37500000000000266,0.5,0.5
reencode3,LH2,1,coefficient_over_delta,31916,0.04628017544746399,2.669097423553467,-26.484375,-0.4375,0.140625,0.46875,27.015625
reencode3,LH2,1,sin_pi_c_over_delta,31916,0.15855278074741364,0.8214622139930725,-1.0,-0.8577286005020142,0.290284663438797,0.9569403529167175,1.0
reencode3,LH2,1,cos_pi_c_over_delta,31916,0.23029088973999023,0.497018039226532,-1.0,-0.0980171412229538,0.24298018217086792,0.5956993103027344,1.0
reencode3,LH2,1,qim_phase_mod_1,31916,0.43288877606391907,0.20693424344062805,0.0,0.3125,0.453125,0.5625,1.0
reencode3,LH2,1,classical_decision_margin_over_delta,31916,0.2928869924175963,0.13100183254662506,0.0,0.18750000000000752,0.31250000000000666,0.3750000000000172,0.5
reencode3,HL2,0,coefficient_over_delta,31770,0.0053155492059886456,2.893766403198242,-27.140625,-0.09375,0.0,0.109375,28.953125
reencode3,HL2,0,sin_pi_c_over_delta,31770,-0.0007407148950733244,0.3954073190689087,-1.0,-0.19509032368659973,0.0,0.19509032368659973,1.0
reencode3,HL2,0,cos_pi_c_over_delta,31770,0.5593848824501038,0.7285197973251343,-1.0,0.5956993103027344,0.9700312614440918,1.0,1.0
reencode3,HL2,0,qim_phase_mod_1,31770,0.35467028617858887,0.39219439029693604,0.0,0.0,0.125,0.828125,1.0
reencode3,HL2,0,classical_decision_margin_over_delta,31770,0.3467107333962857,0.15230852845076942,0.0,0.2499999999999858,0.37500000000000355,0.5,0.5
reencode3,HL2,1,coefficient_over_delta,32230,0.08991089463233948,2.9555346965789795,-25.734375,-0.40625,0.140625,0.4375,31.3125
reencode3,HL2,1,sin_pi_c_over_delta,32230,0.17744648456573486,0.7911053895950317,-1.0,-0.803207516670227,0.4275550842285156,0.9238795042037964,1.0
reencode3,HL2,1,cos_pi_c_over_delta,32230,0.2736794948577881,0.5174596309661865,-1.0,-0.049067676067352295,0.3826834261417389,0.7071067690849304,1.0
reencode3,HL2,1,qim_phase_mod_1,32230,0.4218066334724426,0.21677549183368683,0.0,0.28125,0.421875,0.578125,1.0
reencode3,HL2,1,classical_decision_margin_over_delta,32230,0.2689623409866584,0.1328934121078203,0.0,0.1874999999999858,0.2500000000000071,0.375,0.5
