row_id,base_pair_index,image_filename,payload_index,payload_fingerprint,condition,classical_ber,cnn_ber,cnn_mean_probability,cnn_mean_confidence
122,30,5234313.png,0,27dfba357383295b28718e4953d603bc21fcdbfcbaddef5689340cbb1cc76d1d,resize50,0.1796875,0.125,0.5179063081741333,0.7792786955833435
123,30,5234313.png,0,27dfba357383295b28718e4953d603bc21fcdbfcbaddef5689340cbb1cc76d1d,resize25,0.53125,0.53125,0.29570096731185913,0.7527742385864258
124,31,5234313.png,1,990d7fc0aba5120fdcd3ee0f57955dd6c134f4baa7a5511618d264062329c81b,clean,0.0625,0.0,0.5015295147895813,0.8682382106781006
125,31,5234313.png,1,990d7fc0aba5120fdcd3ee0f57955dd6c134f4baa7a5511618d264062329c81b,resize75,0.1796875,0.0859375,0.5200610756874084,0.7965328097343445
126,31,5234313.png,1,990d7fc0aba5120fdcd3ee0f57955dd6c134f4baa7a5511618d264062329c81b,resize50,0.2109375,0.125,0.526902973651886,0.7785850167274475
127,31,5234313.png,1,990d7fc0aba5120fdcd3ee0f57955dd6c134f4baa7a5511618d264062329c81b,resize25,0.5,0.515625,0.2961123585700989,0.7528655529022217
128,32,5234366.png,0,9457c8bff17f7d8f6d8c46a5596b4f51c82a8d83208e82593f0d7ee115ebab79,clean,0.3984375,0.0,0.5296211242675781,0.8370899558067322
129,32,5234366.png,0,9457c8bff17f7d8f6d8c46a5596b4f51c82a8d83208e82593f0d7ee115ebab79,resize75,0.4296875,0.0234375,0.49895793199539185,0.7681618928909302
130,32,5234366.png,0,9457c8bff17f7d8f6d8c46a5596b4f51c82a8d83208e82593f0d7ee115ebab79,resize50,0.4296875,0.0390625,0.4476233124732971,0.6599453687667847
131,32,5234366.png,0,9457c8bff17f7d8f6d8c46a5596b4f51c82a8d83208e82593f0d7ee115ebab79,resize25,0.46875,0.4609375,0.18290668725967407,0.798557698726654
132,33,5234366.png,1,b8b69aa977e0b5312ccc850be78cc433d7bc2a1eec5b248e68f13d4c1edc3427,clean,0.375,0.0,0.4812278747558594,0.8340398073196411
133,33,5234366.png,1,b8b69aa977e0b5312ccc850be78cc433d7bc2a1eec5b248e68f13d4c1edc3427,resize75,0.4140625,0.0390625,0.46913379430770874,0.7468395233154297
134,33,5234366.png,1,b8b69aa977e0b5312ccc850be78cc433d7bc2a1eec5b248e68f13d4c1edc3427,resize50,0.4296875,0.0703125,0.4165346622467041,0.6729751229286194
135,33,5234366.png,1,b8b69aa977e0b5312ccc850be78cc433d7bc2a1eec5b248e68f13d4c1edc3427,resize25,0.4609375,0.46875,0.18230891227722168,0.7963880896568298
136,34,5234368.png,0,f3b58a2cfa56ddb41db2c25ffb593c7a315ae15a6de73c4dfa5cb2b0e8f5727f,clean,0.1640625,0.0,0.4601568579673767,0.8562369346618652
137,34,5234368.png,0,f3b58a2cfa56ddb41db2c25ffb593c7a315ae15a6de73c4dfa5cb2b0e8f5727f,resize75,0.25,0.09375,0.49632108211517334,0.7833259105682373
138,34,5234368.png,0,f3b58a2cfa56ddb41db2c25ffb593c7a315ae15a6de73c4dfa5cb2b0e8f5727f,resize50,0.28125,0.1484375,0.48655468225479126,0.7173591256141663
139,34,5234368.png,0,f3b58a2cfa56ddb41db2c25ffb593c7a315ae15a6de73c4dfa5cb2b0e8f5727f,resize25,0.484375,0.4765625,0.30812186002731323,0.7496078014373779
